                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 0.6631,                0.45835,                 1.0483,                   0.99,                  0.875,                0.98167,                0.57441,                 1.4772,                0.71859,                 1.8579,              0.0010793,              0.0010793,              0.0010793
                     95,                0.73249,                0.52088,                 1.0886,                0.99106,                  0.875,                0.98167,                0.54114,                  1.521,                0.68702,                 1.8523,              0.0010694,              0.0010694,              0.0010694
                     96,                0.75362,                0.58049,                  1.118,                0.99106,                  0.875,                0.98167,                0.54114,                  1.521,                0.68702,                 1.8523,              0.0010595,              0.0010595,              0.0010595
                     97,                0.76711,                0.48808,                 1.1678,                      1,                0.99623,                  0.995,                0.60631,                 1.4399,                0.56052,                 1.7412,              0.0010496,              0.0010496,              0.0010496
                     98,                0.86804,                0.56894,                 1.1005,                      1,                0.99623,                  0.995,                0.60631,                 1.4399,                0.56052,                 1.7412,              0.0010397,              0.0010397,              0.0010397
                     99,                0.66851,                0.47001,                0.95618,                      1,                0.99881,                  0.995,                0.65782,                 1.2941,                0.53242,                 1.5654,              0.0010298,              0.0010298,              0.0010298
                    100,                0.79805,                0.49328,                  1.086,                      1,                0.99881,                  0.995,                0.65782,                 1.2941,                0.53242,                 1.5654,              0.0010199,              0.0010199,              0.0010199
                    101,                 0.8906,                0.59848,                 1.2888,                 0.9991,                      1,                  0.995,                0.67902,                 1.2953,                0.57201,                 1.6199,                0.00101,                0.00101,                0.00101
                    102,                0.84214,                0.55245,                 1.2449,                 0.9991,                      1,                  0.995,                0.67902,                 1.2953,                0.57201,                 1.6199,              0.0010001,              0.0010001,              0.0010001
                    103,                0.75348,                0.54971,                 1.0548,                0.99709,                      1,                  0.995,                 0.6782,                 1.2494,                0.55756,                 1.6582,              0.0009902,              0.0009902,              0.0009902
                    104,                0.82175,                0.51058,                 1.0857,                0.99709,                      1,                  0.995,                 0.6782,                 1.2494,                0.55756,                 1.6582,              0.0009803,              0.0009803,              0.0009803
                    105,                0.79331,                 0.5093,                 1.0863,                0.99858,                      1,                  0.995,                0.61849,                 1.3007,                0.56316,                 1.7566,              0.0009704,              0.0009704,              0.0009704
                    106,                 0.9083,                0.57115,                 1.2401,                0.99858,                      1,                  0.995,                0.61849,                 1.3007,                0.56316,                 1.7566,              0.0009605,              0.0009605,              0.0009605
                    107,                0.76668,                 0.4824,                 1.1312,                0.99876,                      1,                  0.995,                0.57649,                 1.2976,                0.51878,                 1.7152,              0.0009506,              0.0009506,              0.0009506
                    108,                0.76256,                0.50502,                 1.1214,                0.99876,                      1,                  0.995,                0.57649,                 1.2976,                0.51878,                 1.7152,              0.0009407,              0.0009407,              0.0009407
                    109,                0.77889,                0.46249,                 1.0911,                0.99764,                      1,                  0.995,                0.63942,                 1.2128,                0.51123,                 1.5548,              0.0009308,              0.0009308,              0.0009308
                    110,                0.73829,                0.55652,                 1.0893,                0.99764,                      1,                  0.995,                0.63942,                 1.2128,                0.51123,                 1.5548,              0.0009209,              0.0009209,              0.0009209
                    111,                0.62794,                0.49296,                 1.0609,                0.99562,                      1,                  0.995,                0.68751,                 1.1625,                0.51761,                   1.47,               0.000911,               0.000911,               0.000911
                    112,                0.92902,                0.57775,                 1.1805,                0.99562,                      1,                  0.995,                0.68751,                 1.1625,                0.51761,                   1.47,              0.0009011,              0.0009011,              0.0009011
                    113,                0.77828,                0.51197,                 1.0959,                0.99309,                      1,                  0.995,                0.70577,                 1.1466,                 0.4931,                 1.4742,              0.0008912,              0.0008912,              0.0008912
                    114,                0.84384,                 0.5735,                 1.1475,                0.99309,                      1,                  0.995,                0.70577,                 1.1466,                 0.4931,                 1.4742,              0.0008813,              0.0008813,              0.0008813
                    115,                0.85987,                 0.5352,                 1.1996,                0.99115,                      1,                  0.995,                0.70757,                 1.1166,                0.50771,                 1.4588,              0.0008714,              0.0008714,              0.0008714
                    116,                0.57403,                0.40254,                0.97584,                0.99115,                      1,                  0.995,                0.70757,                 1.1166,                0.50771,                 1.4588,              0.0008615,              0.0008615,              0.0008615
                    117,                0.68915,                0.40655,                  1.015,                  0.984,                      1,                  0.995,                0.67723,                 1.2317,                0.54689,                 1.5445,              0.0008516,              0.0008516,              0.0008516
                    118,                0.79918,                0.49295,                 1.2376,                  0.984,                      1,                  0.995,                0.67723,                 1.2317,                0.54689,                 1.5445,              0.0008417,              0.0008417,              0.0008417
                    119,                0.80314,                0.56839,                 1.1603,                0.97904,                      1,                  0.995,                0.65535,                 1.2781,                0.52958,                 1.5633,              0.0008318,              0.0008318,              0.0008318
                    120,                0.68152,                0.44387,                 1.0663,                0.97904,                      1,                  0.995,                0.65535,                 1.2781,                0.52958,                 1.5633,              0.0008219,              0.0008219,              0.0008219
                    121,                0.60428,                0.43692,                 1.0089,                0.98341,                      1,                  0.995,                0.65914,                 1.2953,                0.51352,                 1.5607,               0.000812,               0.000812,               0.000812
                    122,                0.61801,                 0.4729,                0.98186,                0.98341,                      1,                  0.995,                0.65914,                 1.2953,                0.51352,                 1.5607,              0.0008021,              0.0008021,              0.0008021
                    123,                0.69433,                0.49083,                 1.1681,                0.98215,                      1,                  0.995,                0.66717,                  1.306,                0.52551,                 1.5794,              0.0007922,              0.0007922,              0.0007922
